keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow
cooling pillow cases,B00RKHWJ1O,1,90,46,-44,0,0,0,0.0,0.0,3942.37,
dark grey sheets,B0822WVF4H,1,91,67,-24,0,0,0,0.0,0.0,,
duvet cover king,B07GQ38TP8,1,95,86,-9,0,0,0,0.0,0.0,7077.639999999999,
full size bed sheets kids,B00O35DAL4,1,38,36,-2,0,0,0,0.0,0.0,,
full size sheets kids,B00O35DAL4,1,43,41,-2,0,0,0,0.0,0.0,,
gray king size sheets,B00SU0QSZ8,1,21,22,1,0,0,0,0.0,0.0,,
gray queen sheet set,"B00NLLUP4G, B00SBZJ8NG, B0BTZ4CFWV",3,14,18,4,0,0,0,0.0,0.0,,
gray sheets,"B00SBZJ8NG, B0BTZ51FTP",2,14,12,-2,0,0,0,0.0,0.0,,
gray sheets full,B00SUF39K0,1,25,79,54,0,0,0,0.0,0.0,,
gray sheets queen,"B00NLLUP4G, B0BTZ4CFWV",2,15,15,0,0,0,0,0.0,0.0,,
gray twin sheets,"B07R5VQK5V, B0BTZ5QTKY",2,91,28,-63,0,0,0,0.0,0.0,,
grey bed sheets,"B00SBZJ8NG, B0BTZ51FTP",2,21,38,17,0,0,0,0.0,0.0,105.03,
grey full size sheets,B00SUF39K0,1,93,94,1,0,0,0,0.0,0.0,,
grey king size sheets set,B00NQDGAP2,1,69,54,-15,0,0,0,0.0,0.0,,
grey queen sheet set,"B00SBZJ8NG, B0BTZ4CFWV",2,11,12,1,0,0,0,0.0,0.0,454.73999999999995,
grey queen sheets,"B00NLLUP4G, B0BTZ4CFWV",2,13,17,4,0,0,0,0.0,0.0,,
