asin,collection,size,color,sales,prior_sales,sales_delta,sessions,prior_sessions,units,prior_units,conversion,prior_conversion,conversion_change_pp,qualified
B07R924M7Y,1800 Bed Sheets,Full,Laced Sky Blue,1085.75,453.28,632.47,755,298,35,12,0.046357615894039736,0.040268456375838924,0.006089159518200812,True
B0BTZ45457,1800 Bed Sheet Set 6 PIECE,Queen,Golden Ivory,1072.59,175.88,896.7099999999999,254,59,30,4,0.11811023622047244,0.06779661016949153,0.050313626050980914,False
B01MS6XZ05,1800 Bed Sheets,Split King,Light Gray,1067.83,140.91,926.92,525,78,29,3,0.05523809523809524,0.038461538461538464,0.016776556776556775,True
B0BTZ4YV6J,1800 Bed Sheet Set 6 PIECE,King,Golden Ivory,1056.02,105.94,950.0799999999999,224,59,24,2,0.10714285714285714,0.03389830508474576,0.07324455205811137,False
B01DN0AFSU,1800 Bed Sheets,Full,Yellow,1051.84,265.03,786.81,1251,152,34,7,0.02717825739408473,0.046052631578947366,-0.018874374184862635,True
B016P430CY,1800 Bed Sheets,Twin XL,Lavender,1041.89,314.73,727.1600000000001,443,123,37,9,0.0835214446952596,0.07317073170731707,0.010350712987942531,False
B0BMWL7N8S,1800 Bed Sheet Set With DEEP Fitted Sheet,California King,Pinstripe Gray,1032.52,259.85,772.67,499,86,24,5,0.04809619238476954,0.05813953488372093,-0.01004334249895139,False
B00O35CXSK,1800 Bed Sheets,Twin,Beige,1027.9199999999998,451.11,576.8099999999998,227,69,37,13,0.16299559471365638,0.18840579710144928,-0.025410202387792902,False
B01CYLCJMY,1800 Bed Sheets,Full,Paisley Gray,1025.01,264.27,760.74,1517,653,33,7,0.021753460777851022,0.010719754977029096,0.011033705800821926,True
B0BMW7ZJ2R,1800 Bed Sheet Set With DEEP Fitted Sheet,Full,Sage,1001.9900000000001,183.88,818.1100000000001,457,100,27,5,0.05908096280087528,0.05,0.009080962800875274,False
B0822WT7JY,1800 Bed Sheet Set With DEEP Fitted Sheet,Split King,Spa Blue,999.25,149.91,849.34,400,45,25,3,0.0625,0.06666666666666667,-0.004166666666666666,False
B01MR5KTCB,1800 Bed Sheets,Split King,Beige,995.6899999999999,281.82,713.8699999999999,354,68,27,6,0.07627118644067797,0.08823529411764706,-0.011964107676969093,False
B08BZWCLY2,1800 Bed Sheet Set With DEEP Fitted Sheet,Full,Lavender,992.82,91.94,900.8800000000001,411,56,26,2,0.06326034063260341,0.03571428571428571,0.0275460549183177,False
