asin,collection,size,color,sales,prior_sales,sessions,prior_sessions,units,prior_units,conversion,prior_conversion,conversion_change_pp,sales_delta,sales_wow
B0CNRXQRJP,1800 Bed Sheets,Full,Pistachio,227.06,113.91,123,112,6,3,0.04878048780487805,0.026785714285714284,0.021994773519163766,113.15,0.993328066017031
B0BTZ7DKC5,1800 Bed Sheet Set 6 PIECE,Queen,Beige,219.85,438.82,87,88,5,10,0.05747126436781609,0.11363636363636363,-0.05616509926854754,-218.97,-0.4989973109703295
B0BTZ45457,1800 Bed Sheet Set 6 PIECE,Queen,Golden Ivory,219.85,43.97,66,60,5,1,0.07575757575757576,0.016666666666666666,0.0590909090909091,175.88,4.0
B0822XBDZW,1800 Bedskirt,Full,White,219.67,159.76,297,162,11,8,0.037037037037037035,0.04938271604938271,-0.012345679012345678,59.91,0.375
B0CNRX8GGP,1800 Bed Sheets,King,Poppy Orange,214.85,128.91,153,106,5,3,0.032679738562091505,0.02830188679245283,0.004377851769638674,85.94,0.6666666666666666
B00O35D05A,1800 Bed Sheets,Twin,Navy Blue,209.82,349.70000000000005,40,38,6,10,0.15,0.2631578947368421,-0.1131578947368421,-139.88000000000005,-0.4000000000000001
B01DN0A8L4,1800 Bed Sheets,Twin XL,Yellow,209.82,69.94,93,83,6,2,0.06451612903225806,0.024096385542168676,0.04041974349008939,139.88,2.0
B07BKTVFBX,1800 Bed Sheets,Twin,Spa Blue,209.82,209.82,96,96,6,6,0.0625,0.0625,0.0,0.0,0.0
B01DN0A3P0,1800 Bed Sheets,Twin XL,Coral,209.82,174.85,59,60,6,5,0.1016949152542373,0.08333333333333333,0.018361581920903966,34.97,0.2
B0CLYDTMYZ,1800 Bed Sheets,Twin XL,Burgundy,209.82,209.82,41,44,6,6,0.14634146341463414,0.13636363636363635,0.009977827050997784,0.0,0.0
B016P42OTE,1800 Bed Sheets,Twin XL,Gold,209.82,34.97,41,43,6,1,0.14634146341463414,0.023255813953488372,0.12308564946114577,174.85,5.0
B08BZX5BKY,1800 Bed Sheet Set With DEEP Fitted Sheet,California King,Lavender,207.88,51.97,49,51,4,1,0.08163265306122448,0.0196078431372549,0.06202480992396958,155.91,3.0
B0822W4BT5,1800 Bed Sheet Set With DEEP Fitted Sheet,California King,Light Gray,207.88,311.82000000000005,93,89,5,6,0.053763440860215055,0.06741573033707865,-0.013652289476863595,-103.94000000000005,-0.3333333333333335
B01NCLP7SY,Cotton Flannel Sheet Set 160GSM,Queen,Sage,207.88,623.6400000000001,76,61,4,13,0.05263157894736842,0.21311475409836064,-0.16048317515099222,-415.7600000000001,-0.6666666666666667
B0822XLS97,1800 Bed Sheet Set With DEEP Fitted Sheet,Split King,Blue Hydrangea,199.88,199.88,45,43,4,4,0.08888888888888889,0.09302325581395349,-0.004134366925064595,0.0,0.0
B01ETTH5H8,1800 Flat Sheet,California King,White,199.7,39.94,27,24,10,2,0.37037037037037035,0.08333333333333333,0.28703703703703703,159.76,4.0
