asin,collection,size,color,sales,prior_sales,sessions,prior_sessions,units,prior_units,conversion,prior_conversion,conversion_change_pp
B08V93R9LN,1800 Bed Sheets,RV / Short Queen,Light Gray,559.52,629.46,91,113,16,18,0.17582417582417584,0.1592920353982301,0.01653214042594575
B016P42LGU,1800 Bed Sheets,Twin XL,Aqua,559.52,104.91,138,132,16,4,0.11594202898550725,0.030303030303030304,0.08563899868247694
B0CNRXT6D9,1800 Bed Sheets,Twin,Sky Blue,559.52,349.70000000000005,152,125,16,10,0.10526315789473684,0.08,0.025263157894736835
B0DGQRDZLP,1800 Bed Sheets,King,Oxford Stripe Sage,558.6100000000001,256.96,388,397,13,6,0.03350515463917526,0.015113350125944584,0.01839180451323067
B00NQDGDYA,1800 Bed Sheets,King,Navy Blue,558.61,429.7,138,172,13,10,0.09420289855072464,0.05813953488372093,0.03606336366700371
B0DGQPSZVY,1800 Bed Sheets,King,Mineral Gray,558.61,772.6,601,732,13,18,0.021630615640599003,0.02459016393442623,-0.002959548293827226
B0CNRZ5KZH,1800 Bed Sheets,King,Terracotta,557.75,513.9200000000001,203,257,13,14,0.06403940886699508,0.054474708171206226,0.009564700695788853
B0BMW7CQ51,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,Laced Sky Blue,549.6700000000001,799.52,212,248,11,16,0.05188679245283019,0.06451612903225806,-0.012629336579427872
B08CZZ5HLF,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,Purple,549.67,349.78999999999996,84,102,11,7,0.13095238095238096,0.06862745098039216,0.062324929971988796
B0822X3C9M,1800 Bed Sheet Set With DEEP Fitted Sheet,Twin,White,539.64,584.61,206,168,12,13,0.05825242718446602,0.07738095238095238,-0.019128525196486362
B00O35DFRI,1800 Bed Sheets,Full,Aqua,531.58,683.46,291,257,14,18,0.048109965635738834,0.07003891050583658,-0.021928944870097743
B0BTZ36NJC,1800 Bed Sheet Set 6 PIECE,Queen,Gray,527.6400000000001,131.91,39,33,12,3,0.3076923076923077,0.09090909090909091,0.2167832167832168
B0822Y1V11,1800 Pillowcase Set 4 pc,King,White,527.04,293.76,54,48,20,11,0.37037037037037035,0.22916666666666666,0.1412037037037037
B08V8V7VZF,1800 Bed Sheets,RV / Short Queen,White,524.55,873.5500000000001,376,552,15,25,0.0398936170212766,0.04528985507246377,-0.00539623805118717
B07R5VQK5V,1800 Bed Sheets,Twin XL,Pinstripe Gray,524.55,734.37,210,192,15,21,0.07142857142857142,0.109375,-0.037946428571428575
B0CLYCSPZB,1800 Bed Sheets,Twin XL,Ivory,523.8499999999999,699.4,240,199,15,20,0.0625,0.10050251256281408,-0.038002512562814075
B0822XT63Y,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Navy Blue,519.6999999999999,571.6700000000001,114,103,10,11,0.08771929824561403,0.10679611650485436,-0.019076818259240333
B0DGQRDPMP,1800 Bed Sheets,Queen,Oxford Stripe Blue Nova,519.6099999999999,359.73,279,253,13,9,0.04659498207885305,0.03557312252964427,0.011021859549208778
B01DN0AX4G,1800 Bed Sheets,King,Yellow,515.6399999999999,343.76,310,333,12,8,0.03870967741935484,0.024024024024024024,0.014685653395330817
B0BMW9NHP1,1800 Bed Sheet Set With DEEP Fitted Sheet,Full,Blush Pink,505.66999999999996,505.6700000000001,123,102,11,11,0.08943089430894309,0.10784313725490197,-0.018412242945958876
B08BZWL45V,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,Lavender,499.7,649.61,193,189,10,13,0.05181347150259067,0.06878306878306878,-0.01696959728047811
B01ES3L33W,1800 Fitted Sheet,Queen,White,499.25,1198.1999999999998,175,170,25,61,0.14285714285714285,0.3588235294117647,-0.21596638655462186
B0822WFPWY,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,Navy Blue,498.7,498.70000000000005,149,140,10,10,0.06711409395973154,0.07142857142857142,-0.004314477468839881
B0DGQRH24Q,1800 Bed Sheets,Full,Mineral Gray,493.61,569.55,266,281,13,15,0.04887218045112782,0.05338078291814947,-0.004508602467021651
B0112XOOZ0,1800 Bed Sheets,Full,Tan,493.60999999999996,379.7,93,111,13,10,0.13978494623655913,0.09009009009009009,0.04969485614646904
B00SUF34LO,1800 Bed Sheets,Twin,Light Gray,489.58000000000004,524.55,134,164,14,15,0.1044776119402985,0.09146341463414634,0.013014197306152164
B013FJJOCM,1800 Bed Sheets,Queen,Royal Blue,478.84000000000003,639.5199999999999,336,386,12,16,0.03571428571428571,0.04145077720207254,-0.005736491487786828
B00NLNDR30,1800 Bed Sheets,Queen,Gold,478.84,199.85,661,156,12,5,0.018154311649016642,0.03205128205128205,-0.013896970402265407
B0822X6C25,1800 Bed Sheet Set With DEEP Fitted Sheet,California King,Beige,467.73000000000013,415.76,86,83,9,8,0.10465116279069768,0.0963855421686747,0.008265620622022976
B08BZXVCB5,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Emerald Green,467.73,623.6400000000001,154,189,9,12,0.05844155844155844,0.06349206349206349,-0.005050505050505048
B0822X28WM,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Black,467.73,311.82000000000005,92,78,9,6,0.09782608695652174,0.07692307692307693,0.020903010033444816
B0822W5J5M,1800 Bed Sheet Set With DEEP Fitted Sheet,California King,Gray,467.73,259.85,79,55,9,5,0.11392405063291139,0.09090909090909091,0.023014959723820477
B0822WMBHV,1800 Bed Sheet Set With DEEP Fitted Sheet,Full,Gray,459.7,459.69999999999993,74,79,10,10,0.13513513513513514,0.12658227848101267,0.008552856654122476
B08RZCXTG7,1800 Bed Sheets,Full,Teal,455.64,493.60999999999996,151,152,12,13,0.07947019867549669,0.08552631578947369,-0.006056117113976994
B08RZC21CJ,1800 Bed Sheets,Twin XL,Golden Ivory,454.61,524.55,211,167,13,15,0.061611374407582936,0.08982035928143713,-0.02820898487385419
B0822Z3PLW,1800 Bed Sheet Set With DEEP Fitted Sheet,Twin XL,Gray,449.7,584.61,99,84,10,13,0.10101010101010101,0.15476190476190477,-0.05375180375180376
B00SU0QUUQ,1800 Bed Sheets,California King,Light Gray,448.79999999999995,404.72999999999996,92,101,10,9,0.10869565217391304,0.0891089108910891,0.019586741282823936
B07GQ38TP8,1800 Duvet Cover Set,King,White,442.15999999999997,550.85,209,221,12,15,0.05741626794258373,0.06787330316742081,-0.010457035224837076
