keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow,total_clicks,brand_clicks,brand_ctr,brand_purchase_per_click
cooling sheets xl twin,,0,,,,51,3,1,104.91,34.97,,,31,1,0.0008680555555555555,1.0
twin xl brown sheets,,0,,,,99,5,1,104.9,37.97,,,50,1,0.0003374957813027337,1.0
plum sheets,,0,,,,717,3,0,104.85000000000001,,148.55,-0.29417704476607204,284,4,0.00020946795140343527,0.0
navy plaid flannel sheets,,0,,,,13,2,1,103.94,51.97,,,14,1,0.0035587188612099642,1.0
ivory bed sheets,,0,,,,343,6,0,103.62,,,,166,1,0.00010475591870940707,0.0
deep queen sheets,,0,,,,364,5,0,103.6,,191.16,-0.4580456162377067,183,2,0.00019107671730199676,0.0
light purple sheets queen,,0,,,,84,6,1,102.60000000000001,39.97,,,46,1,0.0004885197850512946,1.0
patterned bed sheets,,0,,,,1805,4,0,102.56,,50.98,1.0117693213024717,823,5,0.00010377750103777501,0.0
white sheets california king,,0,,,,34,4,0,101.96,,,,22,3,0.0038022813688212928,0.0
sheets for queen bed,,0,,,,217,6,0,101.94,,,,92,4,0.0005996102533353321,0.0
queen size sheet sets deep pockets,,0,,,,55,3,1,101.85000000000001,49.97,,,19,1,0.0005330490405117271,1.0
king navy blue sheets,,0,,,,17,3,1,101.78999999999999,42.97,,,5,1,0.002257336343115124,1.0
white queen size bed sheets,,0,,,,24,4,1,99.96,36.97,,,15,1,0.0012062726176115801,1.0
gold bed sheets,,0,,,,135,4,0,99.96,,,,77,3,0.0008688097306689834,0.0
bed skirt twin xl black,,0,,,,117,5,2,99.94999999999999,39.94,77.97,0.28190329613954074,66,2,0.0006680026720106881,1.0
full size sheet sets cooling,,0,,,,167,7,1,99.68,35.97,,,82,2,0.00043431053203040176,0.5
black cooling sheet set,,0,,,,17,3,1,98.97,39.97,,,13,1,0.0018867924528301887,1.0
soft bed sheets,,0,,,,1043,3,0,95.97,,79.96,0.20022511255627823,379,3,9.694932781799379e-05,0.0
grey bed sheets,"B00SBZJ8NG, B0BTZ51FTP",2,27,28,1,538,6,0,95.94,,112.0,-0.14339285714285716,132,0,0.0,
best bed sheets queen,,0,,,,101,2,0,95.18,,,,43,3,0.001095290251916758,0.0
king sheet white,,0,,,,40,5,1,94.45,40.97,,,19,3,0.0029239766081871343,0.3333333333333333
microfiber sheets,,0,,,,1232,6,0,93.21000000000001,,170.91,-0.45462524135509913,606,8,0.0002094789211835559,0.0
tan king sheets,,0,,,,225,4,0,91.92,,,,100,1,0.0002032520325203252,0.0
king size dust ruffle,,0,,,,281,4,1,91.88,22.97,,,118,2,0.00022092124157737766,0.5
wrinkle free sheets queen size,,0,,,,139,1,0,89.99,,,,75,7,0.0018503832936822627,0.0
queen size sheet set hotel luxury bed sheets white,,0,,,,151,3,0,89.97,,190.32,-0.5272698612862547,70,3,0.0005750431282346176,0.0
hotel collection sheets queen,,0,,,,83,3,0,89.97,,,,33,1,0.0004332755632582322,0.0
ivory sheet set,,0,,,,86,3,1,89.97,42.97,,,47,2,0.0009074410163339383,0.5
queen sheets and pillow cases,,0,,,,172,5,0,89.94999999999999,,,,75,1,0.00022153300841825432,0.0
gray pillow shams queen,,0,,,,43,6,1,89.94,14.97,,,25,1,0.0009950248756218905,1.0
cream full size sheets,,0,,,,108,6,0,89.69999999999999,,,,46,1,0.0003654970760233918,0.0
rayon bamboo sheets king,,0,,,,107,2,0,87.98,,,,57,3,0.0010380622837370243,0.0
linen bed sheets full,,0,,,,296,2,0,85.98,,,,141,1,0.00011928903733746869,0.0
king size bedsheets,,0,,,,389,4,0,85.96,,,,142,2,0.00019076688286913393,0.0
green and white striped sheets,,0,,,,202,2,1,85.94,42.97,,,116,13,0.0023516642547033286,0.07692307692307693
mellanni king sheet set,,0,,,,17,2,2,85.94,85.94,49.97,0.7198318991394836,12,12,0.025477707006369428,0.16666666666666666
bedsheet set,,0,,,,513,2,0,85.8,,28.48,2.012640449438202,163,2,0.00013019985678015754,0.0
allswell sheets,,0,,,,423,2,0,84.98,,,,102,1,9.915716410510659e-05,0.0
blue standard pillow shams,,0,,,,157,5,0,84.94999999999999,,,,101,5,0.0014367816091954023,0.0
blush pink queen sheet set,,0,,,,28,3,1,84.12,39.97,,,18,3,0.0045045045045045045,0.3333333333333333
full size sheets white,,0,,,,78,6,0,84.0,,125.92999999999999,-0.3329627570872707,44,1,0.0004743833017077799,0.0
cal king flannel sheets,,0,,,,53,2,0,83.98,,,,28,4,0.002530044275774826,0.0
gold king sheets,,0,,,,89,4,0,83.96,,,,36,1,0.0003169572107765452,0.0
patterned sheets queen,,0,,,,550,3,0,83.64,,71.94,0.16263552960800673,248,1,6.264879087833605e-05,0.0
pin stripe sheets,,0,,,,226,3,0,82.47,,,,106,6,0.0010362694300518134,0.0
king white sheets set,,0,,,,15,2,1,81.94,40.97,37.78,1.1688724192694546,5,3,0.007281553398058253,0.3333333333333333
lencol king algodao,,0,,,,15,2,2,81.94,81.94,,,8,2,0.005649717514124294,1.0
mellanni pillowcases,,0,,,,23,3,3,81.0,81.0,,,12,11,0.01903114186851211,0.2727272727272727
dark green sheets full,,0,,,,87,3,0,80.97,,,,40,1,0.0004152823920265781,0.0
softest sheets,,0,,,,471,2,0,79.98,,179.95000000000002,-0.5555432064462351,182,3,0.0002193142773594561,0.0
light gray sheets,,0,,,,259,5,0,79.95,,,,101,1,0.00013025921583952066,0.0
twin xl sheets pattern,,0,,,,1095,5,0,79.95,,,,619,5,0.00015393614728610573,0.0
100% cotton bed skirt,,0,,,,124,3,1,79.47,20.97,,,96,2,0.0005421523448088912,0.5
striped sheets full,,0,,,,787,3,0,79.02,,107.96,-0.2680622452760282,415,3,0.0001349952751653692,0.0
bed sheets full size cotton,,0,,,,659,3,0,79.02,,,,284,6,0.0003449068751437112,0.0
dark teal sheets king cotton,,0,,,,10,2,1,78.18,42.97,,,4,1,0.0041841004184100415,1.0
striped queen sheets,,0,,,,710,3,0,77.97,,,,346,3,0.00015701873756934995,0.0
amazon sheets,,0,,,,514,4,0,76.76,,,,264,4,0.00026504108136761196,0.0
white king size bed sheets,,0,,,,53,3,0,76.47,,,,32,1,0.0007892659826361484,0.0
king rv sheets,,0,,,,86,3,0,76.47,,,,43,7,0.003251277287505806,0.0
striped twin xl sheets,,0,,,,465,3,0,76.47,,,,247,3,0.0002197963220748773,0.0
super soft sheets,,0,,,,613,4,0,75.96,,,,254,4,0.0002508938091952581,0.0
床单 full size,,0,,,,10,2,2,75.94,75.94,,,2,2,0.0076045627376425855,1.0
queen size sheets white,,0,,,,48,3,1,74.97,36.97,120.25999999999999,-0.3766006984866123,30,3,0.00202020202020202,0.3333333333333333
queens sheets,,0,,,,62,3,1,74.97,36.97,,,20,2,0.0009629272989889263,0.5
extra large king size sheets,,0,,,,69,3,1,74.97,50.97,,,45,2,0.0009354536950420954,0.5
beige pillow shams,,0,,,,210,5,1,74.85000000000001,14.97,104.79,-0.2857142857142857,97,11,0.0019027849852966616,0.09090909090909091
sheets double bed set,,0,,,,102,5,1,74.7,37.97,,,59,2,0.0007572889057175312,0.5
mellanni king,,0,,,,5,2,2,73.94,73.94,,,4,4,0.02030456852791878,0.5
mellani queen sheets,,0,,,,5,2,2,73.94,73.94,,,4,4,0.016877637130801686,0.5
queen sheets white soft,,0,,,,3,2,1,73.94,36.97,,,3,2,0.02857142857142857,0.5
melanni sheets,,0,,,,13,2,2,73.94,73.94,,,6,6,0.016129032258064516,0.3333333333333333
milani sheets queen,,0,,,,86,2,2,73.94,73.94,110.91,-0.3333333333333333,41,37,0.014711729622266401,0.05405405405405406
mellonie sheets,,0,,,,18,2,2,73.94,73.94,,,10,9,0.02158273381294964,0.2222222222222222
milani bedsheets,,0,,,,8,2,2,73.94,73.94,,,4,4,0.025974025974025976,0.5
queen size linen,,0,,,,25,2,1,72.46,36.23,,,14,1,0.0017921146953405018,1.0
mellanni,,0,,,,82,2,2,72.46,72.46,,,36,34,0.012873911397198031,0.058823529411764705
bed sheets cotton,,0,,,,1314,4,0,71.96,,,,637,6,0.00015740594994490792,0.0
white bedsheets,,0,,,,302,4,0,71.96,,121.41,-0.40729758668972904,82,1,0.0001145475372279496,0.0
mellanni full size sheet set,,0,,,,131,2,2,71.94,71.94,179.85,-0.6,51,45,0.00988793671720501,0.044444444444444446
cotton double bed sheets,,0,,,,52,2,1,71.94,35.97,,,15,1,0.0006724949562878278,1.0
king sheet set soft,,0,,,,42,1,0,71.9,,,,30,2,0.0016366612111292963,0.0
cali king bed skirt,,0,,,,134,5,0,69.95,,47.96,0.4585070892410342,73,1,0.00034258307639602604,0.0
nice white sheets twin,,0,,,,8,2,1,69.94,34.97,,,6,1,0.005208333333333333,1.0
sheets twin black,,0,,,,10,2,1,69.94,34.97,,,5,1,0.004219409282700422,1.0
full bed sheets cooling,,0,,,,281,3,0,68.97,,246.4,-0.7200892857142858,113,3,0.0003992547245142401,0.0
deep bed sheets queen,,0,,,,229,3,0,68.97,,,,93,4,0.0006723819129265423,0.0
lavender sheets,,0,,,,418,4,0,68.4,,53.97,0.26737076153418576,155,1,8.369601606963509e-05,0.0
full size bed sheets for men,,0,,,,72,2,1,67.98,37.97,,,35,1,0.0006230529595015577,1.0
cool queen sheets,,0,,,,151,4,1,67.96,39.17,,,74,1,0.00025746652935118434,1.0
queen purple sheets,,0,,,,122,4,0,67.96,,,,69,2,0.0006837606837606838,0.0
queen size white sheet set,,0,,,,45,4,1,67.92,36.23,186.9,-0.6365971107544142,27,3,0.0024671052631578946,0.3333333333333333
coral sheets,,0,,,,297,4,0,67.88,,28.04,1.4208273894436518,130,2,0.00020358306188925082,0.0
100 percent cotton flannel sheets,,0,,,,23,1,1,65.97,65.97,,,13,2,0.0038910505836575876,0.5
thick striped sheets,,0,,,,167,1,0,64.99,,,,93,5,0.0011436413540713633,0.0
full-size bed sheets,,0,,,,85,4,0,63.96,,,,32,1,0.0004878048780487805,0.0
queen sheeys,,0,,,,49,4,1,63.96,36.97,,,17,1,0.0009216589861751152,1.0
pale pink sheets,,0,,,,148,4,0,63.32,,,,74,3,0.0008172160174339417,0.0
dark purple twin sheets,,0,,,,31,3,0,62.97,,,,16,2,0.0029282576866764276,0.0
king white bedskirt,,0,,,,30,4,1,62.96,22.97,,,13,1,0.0007680491551459293,1.0
white queen bedskirt 15 inch drop,,0,,,,28,3,1,62.91,20.97,,,17,1,0.0008880994671403197,1.0
flannel sheet set,,0,,,,295,1,0,61.59,,,,172,3,0.0003431316481756834,0.0
purple bed sheets full,,0,,,,98,4,1,60.68,37.97,,,58,1,0.00039952057530962844,1.0
lyocell sheets queen,,0,,,,451,1,0,59.99,,,,310,3,0.00018540263271738457,0.0
sage sheets full,,0,,,,73,3,0,59.97,,,,35,1,0.0005227391531625719,0.0
queen size bed skirt 15 inch drop,,0,,,,176,3,0,59.94,,,,108,5,0.00083236224404861,0.0
mellanni queen fitted sheet only,,0,,,,6,3,3,59.91,59.91,59.91,0.0,5,5,0.03875968992248062,0.6
light grey pillow shams,,0,,,,57,4,2,59.88,29.94,44.910000000000004,0.33333333333333326,31,5,0.0034746351633078527,0.4
kimg sheets,,0,,,,48,3,0,59.82000000000001,,,,24,1,0.0007987220447284345,0.0
sabanas full,,0,,,,421,4,0,59.72,,,,149,5,0.00048529554498689704,0.0
purple queen size sheets,,0,,,,100,3,0,59.400000000000006,,,,50,1,0.0003763643206624012,0.0
slate blue sheets king 6 piece,,0,,,,4,1,1,58.97,58.97,,,5,1,0.010416666666666666,1.0
mella sheets,,0,,,,2,1,1,58.97,58.97,,,1,1,0.01639344262295082,1.0
queen sheets purple,,0,,,,95,2,0,58.86,,,,41,1,0.0004585052728106373,0.0
tein xl sheets set,,0,,,,34,3,1,58.62,34.97,,,16,1,0.0014388489208633094,1.0
fullsize sheet set,,0,,,,16,2,1,57.98,35.97,,,7,1,0.002331002331002331,1.0
blue sheets king,,0,,,,175,3,0,56.699999999999996,,81.96,-0.308199121522694,77,6,0.0012072434607645875,0.0
white bedding king,,0,,,,313,2,0,56.68,,,,145,1,0.00011475786091347258,0.0
peach colored sheets,,0,,,,49,2,1,56.08,37.97,,,34,1,0.0006988120195667365,1.0
light pink bed sheets,,0,,,,524,4,0,56.0,,,,222,1,6.623832549513148e-05,0.0
100% cotton flannel sheets,,0,,,,389,2,0,55.98,,,,195,9,0.0008678044547295343,0.0
miellani sheets king sham,,0,,,,3,1,1,55.97,55.97,,,3,3,0.041666666666666664,0.3333333333333333
mellanni's iconic 4 piece king extra deep pocket white deep pockets,,0,,,,2,1,1,55.97,55.97,,,2,2,0.017241379310344827,0.5
gold sheets,,0,,,,535,8,0,55.92,,,,187,4,0.00026409613099168095,0.0
mellanni split king bed sheet set,,0,,,,11,1,1,54.97,54.97,46.97,0.17032148179689163,8,8,0.030303030303030304,0.125
threshold sheets queen,,0,,,,317,1,0,53.99,,28.03,0.9261505529789511,78,2,0.00022077491996909152,0.0
falda para cama full,,0,,,,172,4,1,53.96,19.97,,,112,3,0.0007880220646178094,0.3333333333333333
double bed skirt,,0,,,,149,5,1,53.949999999999996,19.97,,,85,1,0.00028935185185185184,1.0
king size blue sheets,,0,,,,28,3,0,53.91,,,,12,1,0.0015037593984962407,0.0
mellanni pillowcases standard,,0,,,,25,3,3,53.91,53.91,,,9,9,0.018711018711018712,0.3333333333333333
peacock blue sheets,,0,,,,24,1,0,52.99,,,,14,4,0.006734006734006734,0.0
extra large california king sheets,,0,,,,4,1,1,51.97,51.97,,,2,1,0.0078125,1.0
queen pink cotton flannel sheets,,0,,,,7,1,1,51.97,51.97,,,4,1,0.004761904761904762,1.0
white queen dust ruffle,,0,,,,41,4,1,51.96,20.97,,,29,2,0.0018315018315018315,0.5
king size sheets white,,0,,,,55,3,0,51.0,,179.46,-0.7158141089936476,33,1,0.000663129973474801,0.0
twin xl gray striped sheets,,0,,,,6,2,1,50.98,34.97,,,6,1,0.004608294930875576,1.0
millano sheets,,0,,,,1,1,1,50.97,50.97,,,1,1,0.016129032258064516,1.0
extra deep pock king sheets,,0,,,,10,1,1,50.97,50.97,,,8,1,0.0016129032258064516,1.0
mellanni extra deep king sheets,,0,,,,17,1,1,50.97,50.97,,,13,11,0.02631578947368421,0.09090909090909091
soft white king size deep pocket sheets,,0,,,,2,1,1,50.97,50.97,,,1,1,0.025,1.0
purple sheet set queen,,0,,,,85,2,0,50.0,,,,59,1,0.00042319085907744394,0.0
queen sheet set wrinkle free,,0,,,,34,2,1,49.98,36.97,,,15,2,0.0024125452352231603,0.5
white sheet set long twin,,0,,,,3,1,1,49.97,49.97,,,1,1,0.010101010101010102,1.0
mellanni king sheets,,0,,,,7,1,1,49.97,49.97,,,6,6,0.0410958904109589,0.16666666666666666
split california king mellanni sheets,,0,,,,1,1,1,49.97,49.97,,,1,1,0.016666666666666666,1.0
twin bed sheets white,,0,,,,59,5,0,49.95,,,,25,1,0.0006729475100942127,0.0
"mellanni king sheet set - 6-piece iconic collection bedding | including 4 pillowcases, 16-inch deep pocket, easy care, extra soft, cooling sheets, brushed microfiber - white",,0,,,,1,1,1,48.97,48.97,,,1,1,0.038461538461538464,1.0
soft queen size sheets,,0,,,,72,3,1,48.92999999999999,36.97,,,29,1,0.00046382189239332097,1.0
sábanas para cama full,,0,,,,275,3,0,48.480000000000004,,,,111,1,0.00016100466913540493,0.0
soft sheets full,,0,,,,345,2,0,48.0,,,,164,8,0.000811935451131635,0.0
full/queen sheets,,0,,,,88,3,0,47.97,,,,38,1,0.00041356492969396195,0.0
queen bed sheets hotel,,0,,,,24,1,0,47.59,,,,8,1,0.0014184397163120568,0.0
twin xl sheets flannel,,0,,,,177,2,0,47.28,,,,105,2,0.00037509377344336085,0.0
melanni sheet set queen deep,,0,,,,1,1,1,46.97,46.97,,,1,1,0.016129032258064516,1.0
deep pocket queen sheets mellanni,,0,,,,5,1,1,46.97,46.97,46.97,0.0,3,3,0.016129032258064516,0.3333333333333333
melanin extra deep queen sheets 4 pc iconic collection bedding,,0,,,,1,1,1,46.97,46.97,,,1,1,0.023809523809523808,1.0
mellanni extra deep sheets full sage,,0,,,,1,1,1,45.97,45.97,,,1,1,0.0625,1.0
cal king bed skirt taupe bamboo,,0,,,,8,2,1,45.94,22.97,,,4,1,0.0051813471502590676,1.0
bed skirt white full,,0,,,,55,3,1,45.33,19.97,,,33,1,0.0007012622720897616,1.0
queen bedsheets cotton percale,,0,,,,14,1,0,44.99,,,,11,3,0.0034562211981566822,0.0
mellanni iconic extra deep pocket twin xl sheet set,,0,,,,1,1,1,44.97,44.97,,,1,1,0.017241379310344827,1.0
king bedskirt white,,0,,,,13,3,1,44.97,22.97,,,11,1,0.00390625,1.0
split king bedding,,0,,,,125,1,1,44.97,44.97,,,59,1,0.00027616680475006904,1.0
california king purple sheet set,,0,,,,1,1,1,44.97,44.97,,,1,1,0.038461538461538464,1.0
white cal king sheets set,,0,,,,1,1,1,44.97,44.97,,,2,1,0.05,1.0
white bed skirt king size,,0,,,,26,3,1,44.97,22.97,,,15,1,0.0016366612111292963,1.0
mellanni cal king sheets,,0,,,,11,1,1,44.97,44.97,51.97,-0.1346930921685588,7,7,0.028688524590163935,0.14285714285714285
mellani california king sheets,,0,,,,3,1,1,44.97,44.97,,,3,3,0.043478260869565216,0.3333333333333333
beige king pillow shams,,0,,,,27,3,1,44.910000000000004,14.97,,,18,2,0.0033003300330033004,0.5
light gray pillow sham,,0,,,,9,3,2,44.910000000000004,29.94,,,7,2,0.007272727272727273,1.0
bed sheets double,,0,,,,100,3,0,44.82,,,,46,5,0.0019157088122605363,0.0
mellanni twin xl sheet set deep pocket,,0,,,,3,1,1,44.07,44.07,,,2,2,0.019801980198019802,0.5
soft sheet set with corner straps,,0,,,,5,1,1,43.97,43.97,,,1,1,0.008403361344537815,1.0
light gray sheets queen bed 6 pc,,0,,,,1,1,1,43.97,43.97,,,1,1,0.041666666666666664,1.0
falda de cama queen,,0,,,,334,4,0,43.16,,,,165,2,0.0002447081854888046,0.0
juego de sábanas matrimonial,,0,,,,161,1,0,42.99,,,,70,3,0.0008389261744966443,0.0
king size sheets stripes,,0,,,,18,1,1,42.97,42.97,,,9,1,0.002352941176470588,1.0
melleni,,0,,,,4,1,1,42.97,42.97,,,2,2,0.0392156862745098,0.5
king blue grey sheets,,0,,,,1,1,1,42.97,42.97,,,1,1,0.016129032258064516,1.0
gray strips king sheet,,0,,,,2,1,1,42.97,42.97,,,2,1,0.02631578947368421,1.0
king luxury sheet set brown,,0,,,,1,1,1,42.97,42.97,,,1,1,0.016129032258064516,1.0
teal colored king size sheets,,0,,,,2,1,1,42.97,42.97,,,2,1,0.021739130434782608,1.0
￼bedsheets with gold trim,,0,,,,6,1,1,42.97,42.97,,,5,1,0.008264462809917356,1.0
king size sheets blue pattern coolinh,,0,,,,3,1,1,42.97,42.97,,,2,1,0.013888888888888888,1.0
paisley king sheets,,0,,,,25,1,1,42.97,42.97,,,16,1,0.0016666666666666668,1.0
mellanni iconic king sheet set beige 1812,,0,,,,1,1,1,42.97,42.97,,,1,1,0.041666666666666664,1.0
queen sheets mellanni,,0,,,,12,2,1,42.48,36.97,,,8,7,0.028112449799196786,0.14285714285714285
wrinkle resistant queen sheets,,0,,,,18,2,1,42.48,36.97,,,10,1,0.0024330900243309003,1.0
navy king sheets deep pocket fitted,,0,,,,49,2,0,42.48,,,,55,8,0.006024096385542169,0.0
hotel bed sheets,,0,,,,255,2,0,42.48,,15.0,1.8319999999999999,121,1,0.00012487512487512488,0.0
queen size bed ruffle skirt,,0,,,,89,2,0,42.46,,,,55,1,0.00047460844803037496,0.0
mellanni king sheets mint grren,,0,,,,1,1,1,42.11,42.11,,,1,1,0.043478260869565216,1.0
coral sheets king,,0,,,,35,2,1,41.98,42.97,,,18,2,0.0024630541871921183,0.5
blue king shams,,0,,,,27,3,0,41.97,,,,16,2,0.0034602076124567475,0.0
pattern sheets,,0,,,,973,2,0,41.38,,16.99,1.4355503237198355,418,3,0.00011031033975584644,0.0
kingsize white sheets,,0,,,,4,1,1,40.97,40.97,,,2,1,0.007874015748031496,1.0
king sheet set white soft,,0,,,,6,1,1,40.97,40.97,,,3,1,0.007042253521126761,1.0
king sheets white stain resistant,,0,,,,1,1,1,40.97,40.97,,,1,1,0.045454545454545456,1.0
king mattress sheet sets,,0,,,,24,1,1,40.97,40.97,,,6,1,0.0021413276231263384,1.0
mellanni sheet set,,0,,,,24,1,1,40.97,40.97,,,14,14,0.013207547169811321,0.07142857142857142
wrinkle free king size bed sheets,,0,,,,20,1,1,40.97,40.97,,,9,2,0.004338394793926247,0.5
melani bedding,,0,,,,1,1,1,40.97,40.97,,,1,1,0.047619047619047616,1.0
quality king sheets,,0,,,,11,1,1,40.97,40.97,,,4,1,0.004,1.0
king size sheets set high quality,,0,,,,9,1,1,40.97,40.97,,,5,1,0.004694835680751174,1.0
mellanni extra soft microfiber sheet set (king),,0,,,,5,1,1,40.97,40.97,,,2,2,0.013513513513513514,0.5
sheets queen size bed set mellanni,,0,,,,11,1,1,40.97,40.97,,,3,3,0.007653061224489796,0.3333333333333333
king breeze sheet set,,0,,,,3,1,1,40.97,40.97,,,1,1,0.005376344086021506,1.0
mellani king,,0,,,,2,1,1,40.97,40.97,42.97,-0.046544100535257156,2,2,0.025,0.5
melannie sheets,,0,,,,2,1,1,40.97,40.97,,,2,2,0.05,0.5
mellanni oeko tex sheets,,0,,,,2,1,1,40.97,40.97,,,1,1,0.022727272727272728,1.0
mellanni bedding microfiber sheet set queen,,0,,,,1,1,1,40.97,40.97,,,1,1,0.041666666666666664,1.0
white melanni sheets,,0,,,,1,1,1,40.97,40.97,,,1,1,0.05555555555555555,1.0
￼milani bedsheet set-1800,,0,,,,1,1,1,40.97,40.97,,,1,1,0.0625,1.0
white king sheet kuxury,,0,,,,1,1,1,40.97,40.97,,,1,1,0.045454545454545456,1.0
mellanni sheets king,,0,,,,41,1,1,40.97,40.97,40.15,0.02042341220423413,19,19,0.01424287856071964,0.05263157894736842
hotel king sheet set,,0,,,,17,1,1,40.97,40.97,,,11,1,0.002386634844868735,1.0
sheet sets twin,,0,,,,134,2,1,40.48,34.97,,,48,1,0.00022336385972749609,1.0
white linen bed sheets king,,0,,,,4,1,1,40.15,40.15,,,3,1,0.010309278350515464,1.0
milani sheets king size,,0,,,,43,1,1,40.15,40.15,25.49,0.5751275009807768,36,28,0.027833001988071572,0.03571428571428571
set of king sheets,,0,,,,16,1,1,40.15,40.15,,,7,1,0.0022727272727272726,1.0
queen white sheets soft,,0,,,,7,1,1,39.97,39.97,36.97,0.08114687584527996,5,2,0.012658227848101266,0.5
queen size sheet set mellanni,,0,,,,1,1,1,39.97,39.97,,,1,1,0.043478260869565216,1.0
mellanni queen sheet set beige,,0,,,,3,1,1,39.97,39.97,,,2,2,0.029411764705882353,0.5
melina sheets queen,,0,,,,1,1,1,39.97,39.97,,,1,1,0.016129032258064516,1.0
mellanni 4-piece iconic queen bedsheet set,,0,,,,5,1,1,39.97,39.97,,,3,3,0.01485148514851485,0.3333333333333333
black sheet set luxury,,0,,,,4,1,1,39.97,39.97,,,3,1,0.008403361344537815,1.0
queen pink sheets hotel colection,,0,,,,1,1,1,39.97,39.97,,,1,1,0.045454545454545456,1.0
queen sheet set mallanni,,0,,,,1,1,1,39.97,39.97,,,1,1,0.020833333333333332,1.0
sage green mellanni microfiber set,,0,,,,2,1,1,39.97,39.97,,,1,1,0.020833333333333332,1.0
queen size pillow top complete bedding,,0,,,,2,1,1,39.97,39.97,,,2,1,0.021739130434782608,1.0
stain resistant queen size sheets machine washable,,0,,,,2,1,1,39.97,39.97,,,2,1,0.025,1.0
￼queen size purple sheets,,0,,,,2,1,1,39.97,39.97,,,2,1,0.021739130434782608,1.0
queen sheet set not deep pocket,,0,,,,27,1,1,39.97,39.97,,,13,1,0.0013477088948787063,1.0
black queen sheet cooling,,0,,,,3,1,1,39.97,39.97,,,1,1,0.014285714285714285,1.0
queen navy blue sheets and pillow cases,,0,,,,1,1,1,39.97,39.97,,,1,1,0.041666666666666664,1.0
cooling materual gray queen set,,0,,,,1,1,1,39.97,39.97,,,1,1,0.041666666666666664,1.0
mellanni white sheet set queen,,0,,,,3,1,1,39.97,39.97,,,3,2,0.014925373134328358,0.5
sheet sets queen,,0,,,,175,1,1,39.97,39.97,,,62,2,0.0003956478733926805,0.5
b08rzfvs95,,0,,,,1,1,1,39.97,39.97,,,1,1,0.1111111111111111,1.0
coral queen sheet set,,0,,,,42,1,1,39.97,39.97,,,20,2,0.0015174506828528073,0.5
soft sheet set queen,,0,,,,19,1,1,39.97,39.97,,,13,3,0.005319148936170213,0.3333333333333333
bed sheets queen size yellow,,0,,,,18,1,1,39.97,39.97,,,6,1,0.001557632398753894,1.0
grey pillow shams,,0,,,,96,4,0,39.96,,,,50,4,0.0016813787305590584,0.0
navy bed skirt twin xl,,0,,,,26,2,1,39.94,19.97,,,19,3,0.0031446540880503146,0.3333333333333333
mellanni queen fitted sheet,,0,,,,11,2,2,39.94,39.94,,,9,9,0.04035874439461883,0.2222222222222222
queen bedskirt white,,0,,,,57,4,0,39.92,,,,32,1,0.0007288629737609329,0.0
bedsheets king,,0,,,,130,2,0,39.88,,,,40,1,0.00032393909944930353,0.0
dark purple sheets queen,,0,,,,116,2,1,39.6,39.97,26.99,0.4672100778065952,58,3,0.0011737089201877935,0.3333333333333333
navy blue flannel sheet,,0,,,,2,1,1,39.17,39.17,,,2,1,0.020833333333333332,1.0
black linen sheets queen deep,,0,,,,2,1,1,39.17,39.17,,,1,1,0.020833333333333332,1.0
dark purple bedding,,0,,,,725,1,0,38.99,,,,301,3,0.00016844469399213924,0.0
non pilling sheets,,0,,,,371,1,1,38.97,38.97,,,161,1,9.601536245799327e-05,1.0
sabana,,0,,,,735,3,0,38.97,,,,200,2,0.00010755001075500108,0.0
king sized bed sheets,,0,,,,115,2,1,37.98,40.97,,,39,1,0.0002842524161455372,1.0
full size pinstripe sheets,,0,,,,13,1,1,37.97,37.97,,,9,2,0.006622516556291391,0.5
full size bed sheets floral gray white,,0,,,,1,1,1,37.97,37.97,,,1,1,0.043478260869565216,1.0
rose pink sheets,,0,,,,96,1,1,37.97,37.97,,,43,2,0.0008485362749257531,0.5
mellanni full sheet set,,0,,,,19,1,1,37.97,37.97,71.94,-0.4721990547678621,22,21,0.03349282296650718,0.047619047619047616
best sheets full size designs,,0,,,,3,1,1,37.97,37.97,,,3,2,0.027777777777777776,0.5
full fitted sheet and pillows oatmeal color,,0,,,,1,1,1,37.97,37.97,,,1,1,0.041666666666666664,1.0
gray stripe sheets,,0,,,,19,1,1,37.97,37.97,,,11,1,0.002183406113537118,1.0
eucalyptus sheets pink full size,,0,,,,2,1,1,37.97,37.97,,,5,1,0.020833333333333332,1.0
beige khaki bed sheet full,,0,,,,2,1,1,37.97,37.97,,,1,1,0.020833333333333332,1.0
mellani extra full sheet,,0,,,,1,1,1,37.97,37.97,,,1,1,0.041666666666666664,1.0
mellanni twin xl sheets,,0,,,,16,1,1,37.97,37.97,,,9,9,0.02,0.1111111111111111
full xl sheets pinstripe,,0,,,,12,1,1,37.97,37.97,,,7,1,0.0024875621890547263,1.0
aqua teal sheets full,,0,,,,7,1,1,37.97,37.97,,,3,1,0.007936507936507936,1.0
striped bedsheets full,,0,,,,17,1,1,37.97,37.97,,,3,1,0.0026041666666666665,1.0
blush sheetsfull deep,,0,,,,4,1,1,37.97,37.97,,,2,1,0.004032258064516129,1.0
tan full sized ned sheets,,0,,,,2,1,1,37.97,37.97,,,2,2,0.05,0.5
