keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow,total_clicks,brand_clicks,brand_ctr,brand_purchase_per_click
deep queen sheet set,,0,,,,1106,27,0,674.7299999999999,,682.8000000000001,-0.011818980667838552,572,1,3.5391966023712616e-05,0.0
white king sheets set,,0,,,,361,33,2,659.67,81.94,850.0500000000001,-0.2239632962766897,197,17,0.001722740170247264,0.11764705882352941
bed sheet set,,0,,,,2794,22,0,659.3399999999999,,357.0,0.8468907563025208,916,6,7.072719342708616e-05,0.0
flat sheet,"B00NQDGAP2, B01ETTFKIE",2,34,31,-3,4311,63,0,657.7199999999999,,789.21,-0.166609647622306,1469,2,1.7305978350221083e-05,0.0
purple queen sheets,,0,,,,671,31,1,650.6899999999999,39.97,577.97,0.1258196792221048,277,2,0.00012766500702157538,0.5
bedskirt,,0,,,,4021,42,0,634.62,,687.57,-0.07701034076530396,1723,5,4.2819950671416824e-05,0.0
sheets king size deep pocket,,0,,,,1669,21,0,629.79,,458.82,0.37262978945991887,719,6,0.00012086052695189751,0.0
queen flat sheet only,B01ETTDTSM,1,26,29,3,1569,55,0,626.45,,740.35,-0.1538461538461538,752,2,4.925380485642516e-05,0.0
full size sheet,,0,,,,1422,50,0,624.5,,462.0,0.35173160173160173,526,2,5.042228665069961e-05,0.0
cotton bed sheets king,,0,,,,1593,20,0,624.0999999999999,,719.84,-0.1330017781729275,695,2,4.269125683060109e-05,0.0
dust ruffle queen size,,0,,,,2108,48,0,623.52,,,,1070,1,1.704913560882463e-05,0.0
twin sheet sets,,0,,,,1961,52,0,621.4,,694.26,-0.10494627373030278,872,0,0.0,
hotel sheets,,0,,,,2571,17,1,615.91,36.23,959.52,-0.3581061364015341,1079,14,0.00020010863039935964,0.07142857142857142
full xl sheet set,,0,,,,1017,19,0,615.41,,454.35,0.35448442830417065,611,4,0.00011006246044630328,0.0
brown bed sheets,,0,,,,1533,30,0,614.6999999999999,,,,701,2,5.1163980557687386e-05,0.0
green sheets,,0,,,,3095,34,0,611.66,,458.72999999999996,0.3333769319643364,1207,4,4.649594904043985e-05,0.0
polka dot sheets,,0,,,,5173,21,0,608.79,,492.83,0.2352941176470588,2741,5,3.775465514897987e-05,0.0
